senatore,nome,cognome,sesso,legislatura,inizioMandato,fineMandato,tipoMandato,tipoFineMandato,dataNascita,cittaNascita,provinciaNascita,nazioneNascita
http://dati.senato.it/senatore/32650,Patrizio Giacomo,La Pietra,M,19,2022-10-13,,elettivo,,1961-04-10,Pistoia,Pistoia,Italia
http://dati.senato.it/senatore/1275,Ignazio,La Russa,M,19,2022-10-13,,elettivo,,1947-07-18,Paterno',Catania,Italia
http://dati.senato.it/senatore/36402,Elena,Leonardi,F,19,2022-10-13,,elettivo,,1975-05-03,Recanati,Macerata,Italia
http://dati.senato.it/senatore/32653,Ettore Antonio,Licheri,M,19,2022-10-13,,elettivo,,1963-10-11,Sassari,Sassari,Italia
http://dati.senato.it/senatore/36434,Sabrina,Licheri,F,19,2022-10-13,,elettivo,,1971-06-04,ASSEMINI,Cagliari,Italia
http://dati.senato.it/senatore/36403,Guido Quintino,Liris,M,19,2022-10-13,,elettivo,,1979-06-12,L'Aquila,L'Aquila,Italia
http://dati.senato.it/senatore/36435,Marco,Lisei,M,19,2022-10-13,,elettivo,,1977-03-15,BOLOGNA,Bologna,Italia
http://dati.senato.it/senatore/36436,Marco,Lombardo,M,19,2022-10-13,,elettivo,,1981-01-02,LOCRI,Reggio di Calabria,Italia
http://dati.senato.it/senatore/36404,Ada,Lopreiato,F,19,2022-10-13,,elettivo,,1971-09-06,Napoli,Napoli,Italia
http://dati.senato.it/senatore/32655,Pietro,Lorefice,M,19,2022-10-13,,elettivo,,1967-07-18,Gela,Caltanissetta,Italia
http://dati.senato.it/senatore/25474,Beatrice,Lorenzin,F,19,2022-10-13,,elettivo,,1971-10-14,Roma,Roma,Italia
http://dati.senato.it/senatore/18055,Alberto,Losacco,M,19,2022-10-13,,elettivo,,1970-07-01,Brindisi,Brindisi,Italia
http://dati.senato.it/senatore/36405,Claudio,Lotito,M,19,2022-10-13,,elettivo,,1957-05-09,Roma,Roma,Italia
http://dati.senato.it/senatore/33946,Gianpietro,Maffoni,M,19,2022-10-13,,elettivo,,1951-11-02,Orzinuovi,Brescia,Italia
http://dati.senato.it/senatore/36437,Tino,Magni,M,19,2022-10-13,,elettivo,,1947-06-29,BARZAGO,Lecco,Italia
http://dati.senato.it/senatore/32658,Alessandra,Maiorino,F,19,2022-10-13,,elettivo,,1974-07-24,Roma,Roma,Italia
http://dati.senato.it/senatore/1407,Lucio,Malan,M,19,2022-10-13,,elettivo,,1960-07-30,Luserna San Giovanni,Torino,Italia
http://dati.senato.it/senatore/29467,Simona Flavia,Malpezzi,F,19,2022-10-13,,elettivo,,1972-08-22,Cernusco Sul Naviglio,Milano,Italia
http://dati.senato.it/senatore/32660,Daniele,Manca,M,19,2022-10-13,,elettivo,,1969-05-16,Imola,Bologna,Italia
http://dati.senato.it/senatore/36438,Paola,Mancini,F,19,2022-10-13,,elettivo,,1973-11-04,ASOLA,Mantova,Italia
http://dati.senato.it/senatore/36439,Paolo,Marcheschi,M,19,2022-10-13,,elettivo,,1961-03-23,FIRENZE,Firenze,Italia
http://dati.senato.it/senatore/17924,Andrea,Martella,M,19,2022-10-13,,elettivo,,1968-08-27,Portogruaro,Venezia,Italia
http://dati.senato.it/senatore/29480,Roberto,Marti,M,19,2022-10-13,,elettivo,,1974-06-11,Lecce,Lecce,Italia
